Name,Brand,Ratings,No_of_ratings,No_of_reviews,Product_features,MSP,MRP,Discount
LG 1.5 Ton 5 Star Split Dual Inverter AC  - White,LG,4.1,12, 0,"['Power Consumption: 400 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor']",44999,75990,40
Voltas 1.5 Ton 2 Star Split AC  - White,Voltas,4.1,129, 12,"['Power Consumption: 1450 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product and 5 Years on Compressor']",31999,61990,48
Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,Panasonic,4.2,1222, 160,"['Power Consumption: 1770 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor']",35990,54400,33
IFB 1.5 Ton 5 Star Split Dual Inverter AC  - White,IFB,4.3,840, 108,"['Power Consumption: 1370 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years on ODU PCB and 10 Years on Compressor from IFB']",39490,50990,22
Lloyd 1.5 Ton 5 Star Window AC  - White,Lloyd,3.8,6, 1,"['Power Consumption: 114.7 kWh', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years on Compressor']",33990,45990,26
SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,SAMSUNG,4.2,328, 44,"['Power Consumption: 1780 W', 'Room Size: 111 to 150 sqft', '1 Year on Product, 10 Years Compressor and 5 Years Condensor Warranty']",39500,46600,15
Lloyd 1.5 Ton 3 Star Split AC  - White,Lloyd,4.2,648, 102,"['Power Consumption: 1087.62 kWh', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product and 5 Years on Compressor']",34499,52990,34
Lloyd 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,Lloyd,4.2,790, 172,"['Power Consumption: 698.49 kWh', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty on Product and 10 Years on Compressor']",32999,47990,31
Lloyd 1.5 Ton 3 Star Split AC  - White,Lloyd,4.3,41, 3,"['Power Consumption: 1114.71 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor from LLOYD']",34990,58990,40
Voltas 0.8 Ton 3 Star Split AC  - White,Voltas,4.1,3467, 386,"['Power Consumption: 826 W', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 5 Years on Compressor From Voltas']",26499,48990,45
SAMSUNG Convertible 5-in-1 Cooling Mode 1 Ton 4 Star Split Inverter Anti Bacteria Filter AC  - White,SAMSUNG,3.7,29, 3,"['Power Consumption: 960 W', 'Room Size: 90 sqft or Below', '1 Year Standard Warranty on Product, 10 Years Warranty on Compressor']",32999,50990,35
LG 1 Ton 3 Star Split Dual Inverter AC  - White,LG,4,67, 10,"['Power Consumption: 680.58 kWh', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging']",34990,57990,39
"LG Convertible 4-in-1 Cooling 1.5 Ton 4 Star Window Dual Inverter HD Filter, Clean Filter Indicator AC...",LG,4,793, 89,"['Power Consumption: 1114.92 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging']",34990,60990,42
SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,SAMSUNG,4.2,26394," 2,631","['Power Consumption: 1044.19 kWh', 'Room Size: 111 to 150 sqft', '1 Year Standard Warranty on Product and 10 Years on Compressor']",34499,57990,40
Lloyd 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,Lloyd,4.2,790, 172,"['Power Consumption: 864.66 kWh', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product and 10 Years on Compressor']",40999,63990,35
Godrej 1.5 Ton 3 Star Split Inverter AC  - White,Godrej,4.6,21, 0,"['Power Consumption: 1570 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive and 10 Years Warranty On Inverter Compressor from Godrej']",35386,44990,21
SAMSUNG 1.5 Ton 3 Star Split AC  - White,SAMSUNG,4.3,316, 19,"['Power Consumption: 1091.49 W', 'Room Size: 111 to 150 sqft', '1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung']",33990,52990,35
SAMSUNG 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,SAMSUNG,4.4,31, 0,"['Power Consumption: 1380 W', 'Room Size: 111 to 150 sqft', '1 Year on product 5 Years Warranty On Condenser, 10 Years Warranty On Compressor']",47490,55500,14
Whirlpool 1 Ton 4 Star Split AC  - White,Whirlpool,4.5,59, 11,"['Power Consumption: 830 W', 'Room Size: 90 sqft or Below', '1 Year on Unit, 5 Years on Condensor & 10 Years on Compressor']",33500,45000,25
Whirlpool 4 in 1 Convertible Cooling 1 Ton 5 Star Split Inverter AC  - White,Whirlpool,4.1,3474, 404,"['Power Consumption: 560.34 W', 'Room Size: 90 sqft or Below', '1 year comprehensive+10year on compressor']",34999,59500,41
Haier 1.25 Ton 3 Star Split Inverter AC  - White,Haier,4.1,1504, 200,"['Power Consumption: 1315 W', '1 Year Warranty on Product and 12 Years on Compressor']",30990,49500,37
LG 1.5 Ton 5 Star Split Dual Inverter AC with Wi-fi Connect  - White,LG,4.1,129, 19,"['Power Consumption: 818.81 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging']",46295,77990,40
TCL 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter AC  - White,TCL,4.3,514, 84,"['Power Consumption: 1790 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor']",27999,44990,37
Panasonic 2 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,Panasonic,4.3,11773," 1,430","['Power Consumption: 2090 W', 'Room Size: 151 to 200 sqft', '1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor']",51990,69400,25
"CARRIER 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - Beige, Black",CARRIER,4.4,83, 15,"['Power Consumption: 1390 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor']",45999,79890,42
